"value","synonym"
"The Hammock Hotel Fine Arts Museum","the hammock hotl fine arts museum"
"The Hammock Hotel Fine Arts Museum","the hammock htl fine arts museum"
"The Hammock Hotel Fine Arts Museum","the hammock hotel fine arts museum"
"The Hammock Hotel Fine Arts Museum","the hammock hotel fine arts musuem"
"The Hammock Hotel Fine Arts Museum","the hammock hotel fine arts muzeum"
"The Hammock Hotel Fine Arts Museum","the hammock hoetl fine arts museum"
"New World Saigon Hotel","new world saigon hotl"
"New World Saigon Hotel","new world saigon htl"
"New World Saigon Hotel","new world sai gon hotel"
"New World Saigon Hotel","new world saigon hoetl"
"New World Saigon Hotel","new world saigon hotel"
"New World Saigon Hotel","new world sg hotel"
"New World Saigon Hotel","new world sai-gon hotel"
"Brand New Cozy Home at the heart of SG","brand new cozy home at the heart of sg"
"Loan Vo Hostel","loan vo hostel"
"Rex Hotel","rex hotl"
"Rex Hotel","rex hoetl"
"Rex Hotel","rex htl"
"Rex Hotel","rex hotel"
"Hotel Majestic Saigon","hotel majestic sai-gon"
"Hotel Majestic Saigon","hotel majestic sai gon"
"Hotel Majestic Saigon","hotl majestic saigon"
"Hotel Majestic Saigon","htl majestic saigon"
"Hotel Majestic Saigon","hoetl majestic saigon"
"Hotel Majestic Saigon","hotel majestic saigon"
"Hotel Majestic Saigon","hotel majestic sg"
"Lotte Hotel Saigon","lotte hoetl saigon"
"Lotte Hotel Saigon","lotte hotl saigon"
"Lotte Hotel Saigon","lotte hotel sai-gon"
"Lotte Hotel Saigon","lotte htl saigon"
"Lotte Hotel Saigon","lotte hotel sg"
"Lotte Hotel Saigon","lotte hotel saigon"
"Lotte Hotel Saigon","lotte hotel sai gon"
"Fusion Suites Saigon","fusion suites sai-gon"
"Fusion Suites Saigon","fusion suites saigon"
"Fusion Suites Saigon","fusion suites sg"
"Fusion Suites Saigon","fusion suites sai gon"
"ibis Saigon Airport","ibis saigon airport"
"ibis Saigon Airport","ibis saigon arpt"
"ibis Saigon Airport","ibis saigon airprt"
"ibis Saigon Airport","ibis sai gon airport"
"ibis Saigon Airport","ibis sai-gon airport"
"ibis Saigon Airport","ibis sg airport"
"ibis Saigon Airport","ibis saigon airpt"
"The Airport Hotel","the airpt hotel"
"The Airport Hotel","the airprt hotel"
"The Airport Hotel","the airport hotl"
"The Airport Hotel","the airport hoetl"
"The Airport Hotel","the airport hotel"
"The Airport Hotel","the arpt hotel"
"The Airport Hotel","the airport htl"
"TTC Hotel - Airport","ttc hotel - airpt"
"TTC Hotel - Airport","ttc hotel - airprt"
"TTC Hotel - Airport","ttc hotel - arpt"
"TTC Hotel - Airport","ttc hotl - airport"
"TTC Hotel - Airport","ttc hoetl - airport"
"TTC Hotel - Airport","ttc htl - airport"
"TTC Hotel - Airport","ttc hotel - airport"
"Suoi Tien Theme Park","suoi tien theme park"
"Suoi Tien Theme Park","suoi tien theme pk"
"Suoi Tien Theme Park","suoi tien theme prak"
"Dam Sen Park","dam sen pk"
"Dam Sen Park","dam sen park"
"Dam Sen Park","dam sen prak"
"Amazing Bay","amazing bay"
"Nguyen Hue Walking Street","nguyen hue walking strt"
"Nguyen Hue Walking Street","nguyen hue walking street"
"Nguyen Hue Walking Street","nguyen hue walking st."
"Nguyen Hue Walking Street","nguyen hue walking st"
"Landmark 81","landmark 81"
"23/9 Park","23/9 park"
"23/9 Park","23/9 pk"
"23/9 Park","23/9 prak"
"Saigon River Tour","sai-gon river tour"
"Saigon River Tour","sai gon river tour"
"Saigon River Tour","saigon river tour"
"Saigon River Tour","sg river tour"
"Snow Town Saigon","snow town saigon"
"Snow Town Saigon","snow town sai gon"
"Snow Town Saigon","snow town sg"
"Snow Town Saigon","snow town sai-gon"
"Vietopia","vietopia"
"tiNiWorld","tiniworld"
"HCMC Opera House (HBSO)","hcmc opera house (hbso)"
"Chill Sky Bar","chill sky bar"
"Bui Vien Street","bui vien street"
"Bui Vien Street","bui vien strt"
"Bui Vien Street","bui vien st."
"Bui Vien Street","bui vien st"
"Club V E-Gaming","club v e-gaming"
"Monte-Carlo Saigon","monte-carlo sai-gon"
"Monte-Carlo Saigon","monte-carlo sg"
"Monte-Carlo Saigon","monte-carlo sai gon"
"Monte-Carlo Saigon","monte-carlo saigon"
"Pho 2000","pho 2000"
"Nha Hang Ngon","nha hang ngon"
"Banh Mi Huynh Hoa","banh mi huynh hoa"
"The Workshop Coffee","the workshop coffee"
"Café de Saigon1982","cafe de saigon1982"
"Café de Saigon1982","café de saigon1982"
"Café de Saigon1982","cafe de sai-gon1982"
"Café de Saigon1982","café de sai-gon1982"
