"CODE","LOCATION","TYPE","RATING (MAX = 5)","Address","Description","Long Description","Tags_Creation_Description","Ticket Info","image_path","open_time","close_time","coordinate","tags","image_url"
"EN016","Children Club House of Go Vap District","Entertainment",4.1,"25 Nguyễn Văn Lượng, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam","The Children Club House of Go Vap District provides recreational activities and programs for children.","This community center focuses on providing a safe and engaging environment for children in the Go Vap district. It hosts various activities such as arts and crafts, sports, and educational programs designed to foster creativity and learning. The club house aims to support children's development and provide them with opportunities to socialize and explore their interests. It serves as a valuable resource for families in the community, offering a supportive and enriching experience for young people.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6u12000iygid8s094A.jpg","0:00","23:59","10.843598, 106.668213","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014698/EN016.jpg"
"LC013","Con Dao Prison","Local",3.9,"Côn Đảo, Bà Rịa - Vũng Tàu, Vietnam","Con Dao Prison is a former prison complex used by French colonialists and later the South Vietnamese government to house political prisoners.","While the main prison complex is technically in Ba Ria-Vung Tau province, it is a location heavily visited from Ho Chi Minh City tours. Con Dao Prison stands as a stark reminder of the harsh realities of colonial rule and the Vietnam War. The prison held thousands of political prisoners who endured brutal conditions and inhumane treatment. Today, it serves as a historical site, allowing visitors to learn about the resilience and sacrifices of those who fought for independence and freedom. The prison's preserved cells, torture chambers, and exhibits offer a poignant glimpse into a dark chapter of Vietnamese history, evoking strong emotions and reflections on human rights.","",0.0,"https://ak-d.tripcdn.com/images/0HJ4512000i2wcmu6BB51.jpg","0:00","23:59","8.689295, 106.614512","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014700/LC013.jpg"
"LC014","Chon Khong Monastery","Local",5.0,"QL51, Phường Kim Dinh, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu, Vietnam","Chon Khong Monastery is a serene Buddhist temple offering a peaceful retreat.","While located outside Ho Chi Minh City in Ba Ria province, this tranquil monastery is accessible and of interest to some tourists. Chon Khong Monastery is nestled amidst lush greenery, providing a sanctuary for spiritual reflection and meditation. The temple features traditional Vietnamese architecture, adorned with intricate carvings and vibrant colors. Visitors can explore the serene gardens, admire the Buddha statues, and participate in meditation sessions. The monastery's peaceful atmosphere and stunning natural surroundings offer a respite from the bustling city, inviting visitors to find inner peace and rejuvenation.","",0.0,"https://ak-d.tripcdn.com/images/0HJ0912000i4wlo7g45E3.jpg","0:00","23:59","10.357802, 107.071822","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014701/LC014.jpg"
"EN017","City Sightseeing Saigon","Entertainment",3.6,"92-94 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Vietnam","City Sightseeing Saigon offers hop-on hop-off bus tours to explore the city's landmarks and attractions.","City Sightseeing Saigon provides a convenient and comprehensive way to discover Ho Chi Minh City's iconic landmarks and hidden gems. The hop-on hop-off bus tours allow visitors to customize their itinerary and explore at their own pace. The open-top buses offer panoramic views of the city, while multilingual audio guides provide informative commentary about the attractions. From historical sites to bustling markets, the tours cover a wide range of interests, making it an ideal option for first-time visitors and seasoned travelers alike.","",5.59,"https://ak-d.tripcdn.com/images/1lo6912000m2xkfip9285.png","0:00","23:59","10.776629, 106.702763","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014703/EN017.png"
"EN018","Trung Tam Hoi Nghi - Tiec Cuoi Riverside Palace","Entertainment",4.7,"360D Bến Vân Đồn, Phường 1, Quận 4, Thành phố Hồ Chí Minh 700000, Vietnam","Riverside Palace is a convention and wedding venue offering elegant spaces for events.","Located along the Saigon River, Riverside Palace provides a sophisticated and luxurious setting for conferences, weddings, and other special events. The venue boasts spacious ballrooms, state-of-the-art facilities, and impeccable service. Its prime location offers stunning views of the city skyline and the river. With its elegant ambiance and attention to detail, Riverside Palace creates unforgettable experiences for guests attending various gatherings, from corporate functions to fairytale weddings. ","",0.0,"https://ak-d.tripcdn.com/images/0HJ0i12000hyslvya71BA.jpg","0:00","23:59","10.75573, 106.690372","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014704/EN018.jpg"
"EN019","Cong vien nuoc Dai The Gioi","Entertainment",4.1,"600 Đ. Hàm Tử, Phường 6, Quận 5, Thành phố Hồ Chí Minh, Vietnam","Dai The Gioi Water Park is an entertainment complex with water slides, pools, and recreational activities.","Dai The Gioi Water Park is a popular destination for families and thrill-seekers looking for fun and excitement. The park features a variety of water slides, pools, and attractions for all ages. Visitors can enjoy adrenaline-pumping rides, relax in the lazy river, or splash around in the wave pool. The park also offers food and beverage options, as well as entertainment shows, creating a vibrant and enjoyable atmosphere for a day of aquatic adventures.","",0.0,"https://ak-d.tripcdn.com/images/0HJ3n12000iyf42zl4A08.jpg","0:00","23:59","10.751174, 106.668761","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014706/EN019.jpg"
"EN020","Trung tam Hoi nghi & Tiec cuoi Gala","Entertainment",4.5,"415 Hoàng Văn Thụ, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Vietnam","Gala Center is a convention and wedding venue offering elegant spaces for events.","Gala Center provides a sophisticated and luxurious setting for conferences, weddings, and other special events. The venue boasts spacious ballrooms, state-of-the-art facilities, and impeccable service. Located in Tan Binh district, it's readily accessible. With its elegant ambiance and attention to detail, Gala Center creates unforgettable experiences for guests attending various gatherings, from corporate functions to fairytale weddings.","",0.0,"https://ak-d.tripcdn.com/images/0HJ2v12000iu6klunFA90.jpg","0:00","23:59","10.799159, 106.659835","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014707/EN020.jpg"
"EN021","Phu Tho Stadium","Entertainment",4.9,"01 Lữ Gia, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Vietnam","Phu Tho Stadium is a multi-purpose stadium used for sports events and concerts.","Phu Tho Stadium is a prominent sports venue in Ho Chi Minh City, hosting a variety of events including football matches, athletic competitions, and music concerts. The stadium has a seating capacity for thousands of spectators, creating an electric atmosphere during major events. It serves as a hub for sports enthusiasts and entertainment seekers, contributing to the vibrant cultural scene of the city. The stadium's central location and well-maintained facilities make it a popular choice for organizers and attendees alike.","",0.0,"https://ak-d.tripcdn.com/images/0HJ0p12000gx7quq1A455.png","0:00","23:59","10.767644, 106.655922","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014709/EN021.png"
"EN022","Aqua Jardin","Entertainment",3.5,"600 Đ. Hàm Tử, Phường 6, Quận 5, Thành phố Hồ Chí Minh, Vietnam","Aqua Jardin, likely within Dai The Gioi Water Park, likely offers aquatic entertainment and relaxation.","Aqua Jardin, possibly located within the larger Dai The Gioi Water Park complex, probably provides a range of water-based activities and recreational opportunities. Though specific details are scarce, it is likely to offer features such as swimming pools, water slides, and relaxing areas for visitors to enjoy. It likely caters to families and individuals seeking a fun and refreshing escape from the city's heat. As part of the Dai The Gioi complex, Aqua Jardin contributes to the overall entertainment and leisure options available to the public.","",0.0,"https://ak-d.tripcdn.com/images/0HJ6q12000irha7fw0EAB.jpg","0:00","23:59","10.819287, 106.699664","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014710/EN022.jpg"
"LC015","Hue Nghiem Pagoda","Local",4.6,"132 Đ. Nguyễn Trãi, Phường 3, Quận 5, Thành phố Hồ Chí Minh, Vietnam","Hue Nghiem Pagoda is a Buddhist temple known for its traditional architecture and serene atmosphere.","Hue Nghiem Pagoda is a revered Buddhist temple that showcases traditional Vietnamese architectural design. The temple features ornate carvings, intricate details, and serene gardens. Visitors can explore the temple grounds, admire the Buddha statues, and participate in meditation sessions. The peaceful ambiance and spiritual significance of Hue Nghiem Pagoda make it a cherished destination for locals and tourists seeking tranquility and cultural enrichment.","",0.0,"https://ak-d.tripcdn.com/images/0HJ1w12000hwdvsmtBEFE.jpg","0:00","23:59","10.742504, 106.616032","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1762014711/LC015.jpg"
