name,img,rating,review_count,short_desc,long_desc,coordinate,address,price,opening_times
Vietnam House Restaurant,https://ak-d.tripcdn.com/images/0105o12000khxndpu2F0E.jpg,4.8,8,,,"10.774962, 106.7040873","93-95-97 Dong Khoi, Ho Chi Minh City",70.0,Mon to Sun：_11:30-14:30 _17:30-21:30 
Bún Chả 145,https://ak-d.tripcdn.com/images/0105a12000fetjd8b926A.jpg,3.6,24,,,"10.7663698, 106.6918038","145 Bui Vien | Pham Ngu Lao Ward, District 1",6.0,Mon to Sat：_11:00-21:30 _Sun：_11:00-16:00 
Pho Mien Ga Ky Dong,https://ak-d.tripcdn.com/images/0102l12000d602ysv6A4F.png,4.7,6,,,"10.7839022, 106.6819786","5 14, Bis Ky Dong Street Ward 9, District 3, Ho Chi Minh City 70000 Vietnam",7.0,Mon to Sun：_05:30-22:30 
Jaspas Restaurant,https://ak-d.tripcdn.com/images/10060k000000caia2A5D9.jpg,0.0,0,,,"10.773607, 106.70559","33 Dong Khoi St, District 1, Ho Chi Minh City, Ho Chi Minh City 70000",20.0,Mon to Sun：_07:30-00:00 
94 Restaurant,https://ak-d.tripcdn.com/images/10030n000000eg1xuE827.jpg,4.5,10,,,"10.790264, 106.6977304","94 Dinh Tien Hoang, DaKao Ward, District 1",15.0,Mon to Sun：_06:00-21:00 
Cha Ca La Vong,https://ak-d.tripcdn.com/images/100a0g0000007q6oxCE5F.jpg,4.0,20,,,"10.778043, 106.68889","No 3-5 Ho Xuan Huong Street, Ward 6, District 3, Ho Chi Minh City 70000, Vietnam",9.0,Mon to Sun：_11:00-22:00 
Den Long - Home Cooked Vietnamese Restaurant,https://ak-d.tripcdn.com/images/100v12000000t11ep15DD.jpg,4.1,13,,,"10.7696967, 106.6907744","130 nguyen trai, District 1 ho chi minh city",11.0,Mon to Sun：_11:00-14:30 _17:00-22:00 
SORAE,https://ak-d.tripcdn.com/images/0106d12000d5zyz1x1210.jpg,4.6,13,,,"10.7720023, 106.7042935","Level 51, Bitexco Financial Tower, 2 Hai Trieu Street, Ben Nghe Ward, D1, HCMC, Ho Chi Minh City, Vietnam",104.0,Mon to Sun：_11:00-14:00 _17:00-23:00 
BEPMEIN 1 - LE THANH TON,https://ak-d.tripcdn.com/images/0103m12000bd2mraxD4A9.jpg,4.2,28,,,"10.7738567, 106.6980798","136/9 Đ. Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh, Vietnam",8.0,Mon to Sun：_10:30-22:30 
Guanabana Smoothies,https://ak-d.tripcdn.com/images/100b0k000000cao7b543C.jpg,5.0,7,,,"10.7804245, 106.7035507","23 Ly Tu Trong, Quan 1, 23 Ly Tu Trong, District 1, Ho Chi Minh City 70000",7.0,Mon to Sun：_7:30-22:00 
